codice_aic;denominazione;principio_attivo;confezione;classe
22674016;VISKEN;Pindololo;30 cpr 5 mg;A
24264018;SORMODREN;Bornaprina;50 cpr 4 mg;A
26447033;CICLADOL;Piroxicam;20 bust grat 20 mg;A
15148125;FARLUTAL;Medrossiprogesterone;30 cpr 500 mg;A
28853012;CONTRAMAL;Tramadolo;20 cps 50 mg;A
15148137;FARLUTAL;Medrossiprogesterone;os sosp 30 flaconcini 500 mg/5 ml;A
20118016;SURMONTIL;Trimipramina;50 cpr riv 25 mg;A
20118028;SURMONTIL;Trimipramina;20 cpr riv 100 mg;A
20118030;SURMONTIL;Trimipramina;os gtt 20 ml 40 mg/ml;A
20121036;AMPLITAL;Ampicillina;12 cps 500 mg;A
21110135;RIFADIN;Rifampicina;1 fiala EV 600 mg + 1 fiala solv 10 ml;A
15148149;FARLUTAL;Medrossiprogesterone;os sosp 15 flaconcini 1.000 mg/10 ml;A
15228012;NOZINAN;Levomepromazina;20 cpr riv 25 mg;A
29008024;ALPHA D3;Alfacalcidolo;30 cps 1 mcg;A
15228024;NOZINAN;Levomepromazina;20 cpr riv 100 mg;A
15628011;ENDOXAN;Ciclofosfamide;50 cpr riv 50 mg;A
15724026;LANOXIN;Digossina;30 cpr 0,25 mg;A
15724038;LANOXIN;Digossina;30 cpr 0,125 mg;A
15724053;LANOXIN;Digossina;6 fiale 0,5 mg 2 ml;A
15724065;LANOXIN;Digossina;30 cpr 0,0625 mg;A
34752042;REMINYL;Galantamina;56 cpr riv 12 mg;A
15724077;LANOXIN;Digossina;1 flacone 60 ml 0,05 mg/ml sciroppo;A
21111024;UMANALBUMIN;Albumina umana;1 flacone EV 50 ml 200 g/l;A
15839095;METILBETASONE;Metilprednisolone;3 fiale IM 80 mg + 3 fiale solv;A
15960014;PARACODINA;Diidrocodeina;os gtt 15 g;A
16366027;COUMADIN;Warfarin;30 cpr div 5 mg;A
34752081;REMINYL;Galantamina;56 cpr riv 4 mg;A
35399094;ACTIQ;Fentanil;3 pastiglie os 600 mcg;A
35399118;ACTIQ;Fentanil;15 pastiglie os 600 mcg;A
16479040;AKINETON;Biperidene;5 fiale IM EV 5 mg 1 ml;A
16531016;HUMATIN;Paromomicina;16 cps 250 mg;A
35399132;ACTIQ;Fentanil;3 pastiglie os 800 mcg;A
35399157;ACTIQ;Fentanil;15 pastiglie os 800 mcg;A
16747026;INTRAFER;Ferro polimaltosato;os gtt 30 ml 50 mg/ml;A
35399171;ACTIQ;Fentanil;3 pastiglie os 1.200 mcg;A
16762041;FULCIN 500;Griseofulvina;10 cpr 500 mg;A
16805018;SERENASE;Aloperidolo;5 fiale IM 2 mg 2 ml;A
16805020;SERENASE;Aloperidolo;5 fiale IM 5 mg 2 ml;A
16805044;SERENASE;Aloperidolo;20 cpr 5 mg;A
16805107;SERENASE;Aloperidolo;os gtt 15 ml 10 mg/ml;A
16861015;IGROTON;Clortalidone;30 cpr 25 mg;A
35918046;TRAMADOLO;Tramadolo;os gtt 10 ml 100 mg/ml;A
36018149;ABSORCOL;Ezetimibe;30 cpr 10 mg;A
10000038;PERITRATE;Pentaeritritile tetranitrato;50 cpr 80 mg rilascio modificato;A
10058030;MYCOSTATIN;Nistatina;os sosp 100.000 UI/ml 100 ml;A
10344012;PURINETHOL;Mercaptopurina;25 cpr 50 mg flacone;A
10681029;ETILTOX;Disulfiram;30 cpr 200 mg;A
10800011;PIRALDINA;Pirazinamide;50 cpr 500 mg;A
10852022;PROZIN;Clorpromazina;25 cpr riv 25 mg;A
10852034;PROZIN;Clorpromazina;os gtt 10 ml 4%;A
10861019;OSTELIN;Ergocalciferolo;2 fiale IM OS 400.000 UI 1,5 ml;A
11226091;AMINOMAL;Teofillina;os soluz 200 ml 0,67%;A
11544020;ALBUMINA UMANA;Albumina umana;1 flacone EV 50 ml 200 g/l;A
11782012;SINTROM;Acenocumarolo;20 cpr div 4 mg;A
11782024;SINTROM;Acenocumarolo;20 cpr 1 mg;A
12048031;SALAZOPYRIN EN;Sulfasalazina;100 cpr gastrores 500 mg;A
12238085;FERRITIN OTI;Sodio ferrigluconato;1 flacone 240 ml 62,5 mg/8 ml sciroppo;A
13013026;DISIPAL;Orfenadrina;50 cpr riv 50 mg;A
